"remote_allowed","normalized_salary","title_idx_num","state_idx_num","formatted_work_type_idx_num","formatted_experience_level_idx_num"
"0.0","33862.4","2.0","14.0","2.0","0.0"
"0.0","32240.0","0.0","38.0","2.0","1.0"
"0.0","45760.0","0.0","12.0","1.0","0.0"
"0.0","45760.0","555.0","1.0","0.0","3.0"
"0.0","52851.5","1808.0","3.0","0.0","1.0"
"0.0","126880.0","0.0","11.0","0.0","0.0"
"0.0","74880.0","206.0","0.0","0.0","0.0"
"1.0","233100.0","0.0","1.0","0.0","2.0"
"0.0","194500.0","0.0","2.0","0.0","0.0"
"1.0","60250.0","0.0","0.0","0.0","2.0"
"1.0","92500.0","0.0","0.0","0.0","2.0"
"0.0","68820.0","0.0","40.0","0.0","4.0"
"0.0","32760.0","1577.0","31.0","2.0","2.0"
"1.0","82500.0","0.0","0.0","0.0","0.0"
"0.0","107500.0","467.0","27.0","0.0","2.0"
"0.0","80000.0","634.0","69.0","0.0","3.0"
"0.0","45000.0","11.0","10.0","0.0","1.0"
"0.0","54059.2","0.0","35.0","0.0","1.0"
"0.0","62500.0","27.0","1.0","0.0","3.0"
"1.0","33280.0","0.0","0.0","0.0","1.0"
"0.0","70000.0","2069.0","34.0","0.0","0.0"
"0.0","169500.0","0.0","1.0","0.0","0.0"
"0.0","90000.0","0.0","45.0","0.0","0.0"
"0.0","70467.5","0.0","25.0","2.0","1.0"
"0.0","89900.0","0.0","3.0","0.0","0.0"
"0.0","95500.0","0.0","17.0","0.0","0.0"
"0.0","37440.0","0.0","12.0","2.0","1.0"
"0.0","162883.5","0.0","16.0","0.0","1.0"
"0.0","190000.0","0.0","0.0","0.0","0.0"
"1.0","194500.0","0.0","20.0","0.0","0.0"
"0.0","42900.0","0.0","4.0","0.0","2.0"
"1.0","32500.0","16.0","4.0","0.0","3.0"
"0.0","60000.0","0.0","34.0","0.0","2.0"
"0.0","60000.0","0.0","3.0","0.0","2.0"
"0.0","66560.0","0.0","1.0","0.0","1.0"
"0.0","49920.0","0.0","21.0","0.0","3.0"
"0.0","33280.0","12.0","40.0","0.0","3.0"
"1.0","137000.0","0.0","0.0","0.0","2.0"
"0.0","83200.0","168.0","9.0","0.0","1.0"
"0.0","65000.0","0.0","18.0","0.0","1.0"
"0.0","87500.0","871.0","50.0","0.0","0.0"
"1.0","58530.0","0.0","0.0","0.0","0.0"
"0.0","37440.0","429.0","2.0","0.0","3.0"
"0.0","119600.0","1066.0","5.0","1.0","2.0"
"0.0","55000.0","0.0","18.0","0.0","2.0"
"0.0","36400.0","2357.0","13.0","6.0","2.0"
"1.0","78000.0","0.0","0.0","1.0","0.0"
"0.0","45760.0","130.0","16.0","0.0","1.0"
"0.0","25480.0","12.0","4.0","2.0","1.0"
"0.0","108750.0","0.0","3.0","0.0","0.0"
"0.0","124735.0","0.0","3.0","0.0","2.0"
"0.0","78750.0","6.0","3.0","0.0","0.0"
"0.0","100000.0","25.0","76.0","0.0","2.0"
"0.0","77500.0","6.0","2.0","0.0","0.0"
"0.0","74880.0","0.0","4.0","0.0","0.0"
"0.0","66560.0","0.0","27.0","0.0","2.0"
"0.0","182000.0","0.0","5.0","0.0","0.0"
"0.0","30544.8","0.0","42.0","2.0","1.0"
"0.0","57500.0","0.0","1.0","0.0","1.0"
"0.0","145000.0","433.0","0.0","0.0","4.0"
"0.0","65800.0","0.0","4.0","0.0","2.0"
"0.0","62925.5","0.0","4.0","0.0","1.0"
"0.0","69160.0","546.0","10.0","0.0","2.0"
"0.0","78000.0","140.0","3.0","3.0","3.0"
"0.0","107500.0","0.0","3.0","0.0","0.0"
"1.0","75000.0","112.0","27.0","0.0","0.0"
"0.0","68000.0","690.0","25.0","0.0","0.0"
"1.0","72800.0","0.0","0.0","2.0","2.0"
"0.0","233615.0","0.0","3.0","0.0","0.0"
"0.0","72500.0","0.0","1.0","0.0","0.0"
"0.0","101408.32","140.0","1.0","0.0","1.0"
"0.0","71302.40000000001","0.0","32.0","0.0","2.0"
"0.0","100000.0","407.0","28.0","0.0","1.0"
"0.0","165000.0","2570.0","1.0","0.0","0.0"
"0.0","77500.0","2145.0","4.0","0.0","2.0"
"0.0","81450.0","163.0","1.0","0.0","0.0"
"0.0","239200.0","961.0","1.0","0.0","2.0"
"0.0","82500.0","3.0","16.0","0.0","1.0"
"1.0","90500.0","0.0","10.0","0.0","0.0"
"0.0","64480.0","0.0","1.0","0.0","1.0"
"1.0","132000.0","0.0","0.0","0.0","0.0"
"1.0","64900.0","27.0","0.0","0.0","1.0"
"0.0","130000.0","66.0","33.0","0.0","2.0"
"0.0","160000.0","686.0","99.0","0.0","0.0"
"0.0","78000.0","792.0","3.0","1.0","3.0"
"0.0","25500.0","351.0","11.0","1.0","0.0"
"0.0","65520.0","1871.0","9.0","1.0","3.0"
"0.0","15400.0","0.0","2.0","4.0","5.0"
"0.0","160000.0","0.0","2.0","0.0","2.0"
"0.0","34320.0","230.0","10.0","0.0","1.0"
"1.0","135000.0","27.0","6.0","0.0","1.0"
"0.0","185000.0","0.0","3.0","0.0","0.0"
"0.0","192000.0","1497.0","51.0","0.0","2.0"
"0.0","170000.0","1058.0","34.0","0.0","0.0"
"0.0","117500.0","1059.0","5.0","1.0","0.0"
"0.0","128750.0","0.0","3.0","0.0","2.0"
"0.0","71468.8","293.0","6.0","0.0","2.0"
"1.0","176000.0","0.0","0.0","0.0","2.0"
"0.0","35000.0","0.0","2.0","0.0","1.0"
"0.0","122699.2","0.0","26.0","0.0","2.0"
"0.0","81000.0","0.0","2.0","0.0","1.0"
"0.0","97708.0","0.0","1.0","0.0","1.0"
"0.0","87500.0","0.0","3.0","0.0","1.0"
"0.0","44977.0","0.0","23.0","2.0","1.0"
"0.0","93600.0","8.0","55.0","0.0","0.0"
"0.0","110000.0","0.0","1.0","0.0","0.0"
"0.0","39520.0","0.0","6.0","0.0","2.0"
"0.0","200000.0","288.0","3.0","0.0","0.0"
"0.0","77500.0","0.0","16.0","0.0","1.0"
"1.0","115000.0","0.0","0.0","0.0","0.0"
"0.0","62400.0","0.0","7.0","0.0","1.0"
"0.0","125000.0","0.0","12.0","0.0","3.0"
"1.0","49920.0","0.0","3.0","0.0","2.0"
"0.0","165000.0","169.0","0.0","0.0","0.0"
"0.0","47500.0","1780.0","4.0","0.0","2.0"
"1.0","202800.0","0.0","0.0","1.0","0.0"
"0.0","70000.0","634.0","9.0","0.0","1.0"
"0.0","69300.0","0.0","12.0","0.0","2.0"
"0.0","54069.59999999999","0.0","1.0","0.0","2.0"
"0.0","250000.0","0.0","9.0","2.0","0.0"
"0.0","129337.5","252.0","14.0","0.0","2.0"
"0.0","102500.0","1930.0","8.0","0.0","2.0"
"0.0","155000.0","0.0","2.0","0.0","0.0"
"0.0","52124.8","2623.0","24.0","0.0","3.0"
"0.0","42640.0","47.0","13.0","0.0","1.0"
"0.0","39520.0","0.0","4.0","4.0","5.0"
"0.0","37024.0","39.0","42.0","2.0","2.0"
"0.0","110000.0","34.0","2.0","0.0","0.0"
"0.0","58157.0","0.0","1.0","0.0","1.0"
"0.0","84489.59999999999","168.0","14.0","0.0","1.0"
"0.0","54080.0","67.0","16.0","0.0","1.0"
"1.0","57990.4","0.0","0.0","0.0","1.0"
